category,item,price,min_price,max_price
Transportation,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",11.42,10.00,11.50
 Utilities (Monthly),"Meal, Inexpensive Restaurant",10.19 $,6.11,20.00
 Utilities (Monthly),"Meal for 2 People, Mid-range Restaurant, Three-course",50.94 $,25.47,100.00
 Utilities (Monthly),McMeal at McDonalds (or Equivalent Combo Meal),9.68 $,9.17,10.00
 Utilities (Monthly),Domestic Beer (1 pint draught),2.29 $,1.07,4.58
 Utilities (Monthly),Imported Beer (12 oz small bottle),4.28 $,3.06,6.62
 Utilities (Monthly),Cappuccino (regular),3.33 $,1.27,5.81
 Utilities (Monthly),Coke/Pepsi (12 oz small bottle),1.46 $,1.02,2.80
 Utilities (Monthly),Water (12 oz small bottle),1.17 $,0.66,2.55
 Utilities (Monthly),"Milk (regular), (1 gallon)",5.15 $,4.43,5.40
 Utilities (Monthly),Loaf of Fresh White Bread (1 lb),2.25 $,1.34,2.86
 Utilities (Monthly),"Rice (white), (1 lb)",0.75 $,0.46,0.87
 Utilities (Monthly),Eggs (regular) (12),2.27 $,1.68,3.06
 Utilities (Monthly),Local Cheese (1 lb),4.29 $,2.77,7.00
 Utilities (Monthly),Chicken Fillets (1 lb),2.85 $,2.00,3.47
 Utilities (Monthly),Beef Round (1 lb) (or Equivalent Back Leg Red Meat),3.97 $,2.27,4.94
 Utilities (Monthly),Apples (1 lb),1.34 $,0.92,1.62
 Utilities (Monthly),Banana (1 lb),0.72 $,0.46,1.50
 Utilities (Monthly),Oranges (1 lb),1.38 $,0.23,1.62
 Utilities (Monthly),Tomato (1 lb),0.85 $,0.37,1.16
 Utilities (Monthly),Potato (1 lb),0.94 $,0.69,1.04
 Utilities (Monthly),Onion (1 lb),1.01 $,0.46,1.36
 Utilities (Monthly),Lettuce (1 head),1.03 $,0.51,1.27
 Utilities (Monthly),Water (1.5 liter bottle),1.11 $,0.61,1.43
 Utilities (Monthly),Bottle of Wine (Mid-Range),9.17 $,6.11,10.00
