category,item,price,min_price,max_price
 Utilities (Monthly),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",39.65 $,17.08,54.87
 Utilities (Monthly),1 Pair of Nike Running Shoes (Mid-Range),65.11 $,34.30,89.17
 Utilities (Monthly),1 Pair of Men Leather Business Shoes,87.29 $,34.30,137.18
 Utilities (Monthly),Apartment (1 bedroom) in City Centre,"1,185.87 $",685.92,"1,714.80"
 Utilities (Monthly),Apartment (1 bedroom) Outside of Centre,618.64 $,445.85,"1,097.47"
 Utilities (Monthly),Apartment (3 bedrooms) in City Centre,"2,969.72 $","1,714.80","4,458.47"
 Utilities (Monthly),Apartment (3 bedrooms) Outside of Centre,"1,297.08 $",823.10,"2,057.75"
 Utilities (Monthly),Price per Square Feet to Buy Apartment in City Centre,965.68 $,637.23,"1,911.70"
 Utilities (Monthly),Price per Square Feet to Buy Apartment Outside of Centre,497.46 $,356.72,700.96
 Utilities (Monthly),Average Monthly Net Salary (After Tax),"2,535.76 $",N/A,N/A
 Utilities (Monthly),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",1.86,1.00,2.58
Sports And Leisure,"Meal, Inexpensive Restaurant",6.86 $,4.80,10.29
Sports And Leisure,"Meal for 2 People, Mid-range Restaurant, Three-course",48.01 $,34.30,144.04
Sports And Leisure,McMeal at McDonalds (or Equivalent Combo Meal),5.49 $,5.14,6.17
Sports And Leisure,Domestic Beer (1 pint draught),3.43 $,1.71,5.49
Sports And Leisure,Imported Beer (12 oz small bottle),4.80 $,2.40,6.86
Sports And Leisure,Cappuccino (regular),3.57 $,1.71,5.49
Sports And Leisure,Coke/Pepsi (12 oz small bottle),1.17 $,0.82,2.06
Sports And Leisure,Water (12 oz small bottle),0.77 $,0.69,1.27
Sports And Leisure,"Milk (regular), (1 gallon)",6.21 $,5.19,8.57
Sports And Leisure,Loaf of Fresh White Bread (1 lb),1.53 $,0.75,3.11
Sports And Leisure,"Rice (white), (1 lb)",1.78 $,0.93,3.11
Sports And Leisure,Eggs (regular) (12),2.24 $,1.11,3.29
Sports And Leisure,Local Cheese (1 lb),7.48 $,2.49,15.56
Sports And Leisure,Chicken Fillets (1 lb),3.39 $,1.87,4.67
Sports And Leisure,Beef Round (1 lb) (or Equivalent Back Leg Red Meat),10.00 $,4.36,21.78
Sports And Leisure,Apples (1 lb),2.28 $,1.37,4.67
Sports And Leisure,Banana (1 lb),1.14 $,0.62,1.87
Sports And Leisure,Oranges (1 lb),2.63 $,1.18,4.67
Sports And Leisure,Tomato (1 lb),2.35 $,0.93,4.67
Sports And Leisure,Potato (1 lb),1.28 $,0.75,1.85
Sports And Leisure,Onion (1 lb),1.29 $,0.69,1.87
Sports And Leisure,Lettuce (1 head),1.48 $,0.75,2.06
Sports And Leisure,Water (1.5 liter bottle),0.87 $,0.58,1.23
Sports And Leisure,Bottle of Wine (Mid-Range),7.89 $,4.80,17.15
Sports And Leisure,Domestic Beer (0.5 liter bottle),2.20 $,1.47,3.09
Sports And Leisure,Imported Beer (12 oz small bottle),2.98 $,1.71,3.77
Sports And Leisure,Cigarettes 20 Pack (Marlboro),4.12 $,3.77,4.46
Sports And Leisure,One-way Ticket (Local Transport),1.51 $,1.23,2.06
Sports And Leisure,Monthly Pass (Regular Price),54.87 $,30.18,121.20
Sports And Leisure,Taxi Start (Normal Tariff),3.43 $,3.09,4.80
Sports And Leisure,Taxi 1 mile (Normal Tariff),4.86 $,4.33,6.07
Sports And Leisure,Taxi 1hour Waiting (Normal Tariff),25.99 $,20.58,34.30
Sports And Leisure,Gasoline (1 gallon),4.67 $,4.41,5.19
Sports And Leisure,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"22,923.39 $","18,519.79","23,396.67"
Sports And Leisure,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"17,234.84 $","15,776.12","19,205.71"
Sports And Leisure,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 915 sq ft Apartment",184.97 $,124.94,315.52
Sports And Leisure,Mobile Phone Monthly Plan with Calls and 10GB+ Data,26.51 $,13.72,48.01
Sports And Leisure,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",33.43 $,27.44,44.58
Sports And Leisure,"Fitness Club, Monthly Fee for 1 Adult",68.78 $,28.81,102.89
Sports And Leisure,Tennis Court Rent (1 Hour on Weekend),20.40 $,8.92,27.44
Sports And Leisure,"Cinema, International Release, 1 Seat",12.69 $,10.97,15.09
Sports And Leisure,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",558.65 $,259.96,982.74
Sports And Leisure,"International Primary School, Yearly for 1 Child","14,973.69 $","9,254.72","26,064.89"
Sports And Leisure,1 Pair of Jeans (Levis 501 Or Similar),54.48 $,20.58,82.31
Sports And Leisure,"1 Summer Dress in a Chain Store (Zara, H&M, ...)",39.65 $,17.08,54.87
Sports And Leisure,1 Pair of Nike Running Shoes (Mid-Range),65.11 $,34.30,89.17
Sports And Leisure,1 Pair of Men Leather Business Shoes,87.29 $,34.30,137.18
Sports And Leisure,Apartment (1 bedroom) in City Centre,"1,185.87 $",685.92,"1,714.80"
Sports And Leisure,Apartment (1 bedroom) Outside of Centre,618.64 $,445.85,"1,097.47"
Sports And Leisure,Apartment (3 bedrooms) in City Centre,"2,969.72 $","1,714.80","4,458.47"
Sports And Leisure,Apartment (3 bedrooms) Outside of Centre,"1,297.08 $",823.10,"2,057.75"
Sports And Leisure,Price per Square Feet to Buy Apartment in City Centre,965.68 $,637.23,"1,911.70"
Sports And Leisure,Price per Square Feet to Buy Apartment Outside of Centre,497.46 $,356.72,700.96
Sports And Leisure,Average Monthly Net Salary (After Tax),"2,535.76 $",N/A,N/A
Sports And Leisure,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",1.86,1.00,2.58
Childcare,"Meal, Inexpensive Restaurant",6.86 $,4.80,10.29
Childcare,"Meal for 2 People, Mid-range Restaurant, Three-course",48.01 $,34.30,144.04
Childcare,McMeal at McDonalds (or Equivalent Combo Meal),5.49 $,5.14,6.17
Childcare,Domestic Beer (1 pint draught),3.43 $,1.71,5.49
Childcare,Imported Beer (12 oz small bottle),4.80 $,2.40,6.86
Childcare,Cappuccino (regular),3.57 $,1.71,5.49
Childcare,Coke/Pepsi (12 oz small bottle),1.17 $,0.82,2.06
Childcare,Water (12 oz small bottle),0.77 $,0.69,1.27
Childcare,"Milk (regular), (1 gallon)",6.21 $,5.19,8.57
Childcare,Loaf of Fresh White Bread (1 lb),1.53 $,0.75,3.11
Childcare,"Rice (white), (1 lb)",1.78 $,0.93,3.11
Childcare,Eggs (regular) (12),2.24 $,1.11,3.29
Childcare,Local Cheese (1 lb),7.48 $,2.49,15.56
Childcare,Chicken Fillets (1 lb),3.39 $,1.87,4.67
Childcare,Beef Round (1 lb) (or Equivalent Back Leg Red Meat),10.00 $,4.36,21.78
Childcare,Apples (1 lb),2.28 $,1.37,4.67
Childcare,Banana (1 lb),1.14 $,0.62,1.87
Childcare,Oranges (1 lb),2.63 $,1.18,4.67
Childcare,Tomato (1 lb),2.35 $,0.93,4.67
Childcare,Potato (1 lb),1.28 $,0.75,1.85
Childcare,Onion (1 lb),1.29 $,0.69,1.87
Childcare,Lettuce (1 head),1.48 $,0.75,2.06
Childcare,Water (1.5 liter bottle),0.87 $,0.58,1.23
Childcare,Bottle of Wine (Mid-Range),7.89 $,4.80,17.15
